Beer PLU,Beer Name,Date Purchased,Store Name,Abv,Style,Color,Format
61307,DUCK RABBIT HOPPY BUNNY,7/11/2013 0:00,Mall of Georgia,7.3,IPA,medium,draft
20571,Duck Rabbit Hoppy Bunny,8/1/2013 0:00,Mall of Georgia,7.3,IPA,medium,bottle
11369,DUCK RABBIT STOUT,12/14/2012 0:00,Mall of Georgia,5.7,Stout,dark,draft
62430,EVENTIDE KOLSCH,2/6/2014 0:00,Crabapple,5.3,Kolsch,light,draft
20645,Fat Cat Shawshank Injunct,8/1/2013 0:00,Mall of Georgia,5.1,Pale Ale,medium,bottle
20433,Finch's Cut Throat 16oz,4/2/2013 0:00,Mall of Georgia,5.5,Pale Ale,medium,bottle
61131,FINCH'S CUT THROAT PALE,8/9/2013 0:00,Mall of Georgia,5.5,Pale Ale,medium,draft
20479,Finch's Threadless 16oz,9/5/2013 0:00,Crabapple,6,IPA,medium,bottle
61369,FINCH'S THREADLESS IPA,7/10/2012 0:00,Crabapple,6,IPA,medium,draft
11039,FLYING DOG DOGGIE STY,12/17/2007 0:00,Crabapple,5.3,Pale Ale,medium,draft
9090,Flying Dog Doggie Style,7/11/2013 0:00,Mall of Georgia,5.3,Pale Ale,medium,bottle
11467,FLYING DOG DOUBLE DOG,1/11/2008 0:00,Crabapple,10.5,Double IPA,medium,draft
9709,Flying Dog In Heat Wheat,12/26/2007 0:00,Crabapple,4.7,Hefeweizen,light,bottle
11041,FLYING DOG OLD SCRATCH,12/23/2007 0:00,Crabapple,5.3,Amber Lagers,medium,draft
9094,Flying Dog Old Scratch,8/8/2013 0:00,Mall of Georgia,5.3,Amber Lagers,medium,bottle
10814,Flying Dog Raging Bitch,7/30/2013 0:00,Mall of Georgia,8.3,IPA,medium,bottle
9091,Flying Dog Snake Dog IPA,5/7/2013 0:00,Mall of Georgia,7.1,IPA,medium,bottle
9095,Flying Dog Tire Biter,12/20/2012 0:00,Crabapple,5.1,Kolsch,light,bottle
11484,FLYING DOG WOODY CREEK,5/25/2011 0:00,xEllard Village,4.8,Witbier/White Beer,light,draft
11043,FOSTERS,12/17/2007 0:00,Crabapple,5,Lager,light,draft
61112,FOUNDERS ALL DAY IPA,5/2/2013 0:00,Crabapple,4.7,IPA,medium,draft
20423,Founders All Day IPA Btl,7/9/2013 0:00,Mall of Georgia,4.7,IPA,medium,bottle
12325,FOUNDERS CENTENNIAL IPA,12/26/2010 0:00,Mall of Georgia,7.2,IPA,medium,draft
10579,Founders Centennial IPA,4/18/2013 0:00,Mall of Georgia,7.2,IPA,medium,bottle
12326,FOUNDERS DIRTY BASTARD,5/3/2013 0:00,Mall of Georgia,8.3,Strong Ale,medium,draft
12328,FOUNDERS PALE ALE,6/2/2011 0:00,Crabapple,5.2,Pale Ale,medium,draft
10582,Founders Pale Ale,9/16/2013 0:00,Mall of Georgia,5.2,Pale Ale,medium,bottle
12340,FOUNDERS RED RYE,2/21/2012 0:00,Crabapple,6.8,IPA,medium,draft
60809,FOUR FRIENDS MISTY MT HOP,10/13/2013 0:00,xSouthpark,7.8,IPA,medium,draft
11420,FRENCH BROAD 13 REBELS,2/15/2012 0:00,Mall of Georgia,5.2,ESB,medium,draft
